authors,title,abstract,cited,year,doi,chazal
"Xu, SSS; Mak, MW; Cheung, CC",Towards End-to-End ECG Classification With Raw Signal Extraction and Deep Neural Networks,"This paper proposes deep learning methods with signal alignment that facilitate the end-to-end classification of raw electrocardiogram (ECG) signals into heartbeat types, i.e., normal beat or different types of arrhythmias. Time-domain sample points are extracted from raw ECG signals, and consecutive vectors are extracted from a sliding time-window covering these sample points. Each of these vectors comprises the consecutive sample points of a complete heartbeat cycle, which includes not only the QRS complex but also the P and T waves. Unlike existing heartbeat classification methods in which medical doctors extract handcrafted features from raw ECG signals, the proposed end-to-end method leverages a deep neural network for both feature extraction and classification based on aligned heartbeats. This strategy not only obviates the need to handcraft the features but also produces optimized ECG representation for heartbeat classification. Evaluations on the MIT-BIH arrhythmia database show that at the same specificity, the proposed patient-independent classifier can detect supraventricular- and ventricular-ectopic beats at a sensitivity that is at least 10% higher than current state-of-the-art methods. More importantly, there is a wide range of operating points in which both the sensitivity and specificity of the proposed classifier are higher than those achieved by state-of-the-art classifiers. The proposed classifier can also perform comparable to patient-specific classifiers, but at the same time enjoys the advantage of patient independence.",159,2019,http://dx.doi.org/10.1109/JBHI.2018.2871510,Yes
"Petmezas, G; Haris, K; Stefanopoulos, L; Kilintzis, V; Tzavelis, A; Rogers, JA; Katsaggelos, AK; Maglaveras, N",Automated Atrial Fibrillation Detection using a Hybrid CNN-LSTM Network on Imbalanced ECG Datasets,"Atrial fibrillation is a heart arrhythmia strongly associated with other heart-related complications that can increase the risk of strokes and heart failure. Manual electrocardiogram (ECG) interpretation for its diagnosis is tedious, time-consuming, requires high expertise, and suffers from inter- and intra-observer variability. Deep learning techniques could be exploited in order for robust arrhythmia detection models to be designed. In this paper, we propose a novel hybrid neural model utilizing focal loss, an improved version of cross-entropy loss, to deal with training data imbalance. ECG features initially extracted via a Convolutional Neural Network (CNN) are input to a Long Short-Term Memory (LSTM) model for temporal dynamics memorization and thus, more accurate classification into the four ECG rhythm types, namely normal (N), atrial fibrillation (AFIB), atrial flutter (AFL) and AV junctional rhythm (J). The model was trained on the MIT-BIH Atrial Fibrillation Database and achieved a sensitivity of 97.87%, and specificity of 99.29% using a ten-fold cross-validation strategy. The proposed model can aid clinicians to detect common atrial fibrillation in real-time on routine screening ECG.",156,2021,http://dx.doi.org/10.1016/j.bspc.2020.102194,No
"Murat, F; Yildirim, O; Talo, M; Baloglu, UB; Demir, Y; Acharya, UR",Application of deep learning techniques for heartbeats detection using ECG signals-analysis and review,"Deep learning models have become a popular mode to classify electrocardiogram (ECG) data. Investigators have used a variety of deep learning techniques for this application. Herein, a detailed examination of deep learning methods for ECG arrhythmia detection is provided. Approaches used by investigators are examined, and their contributions to the field are detailed. For this purpose, journal papers have been surveyed according to the methods used. In addition, various deep learning models and experimental studies are described and discussed. A five-class ECG dataset containing 100,022 beats was then utilized for further analysis of deep learning techniques. The constructed models were examined with this dataset, and results are presented. This study therefore provides information concerning deep learning approaches used for arrhythmia classification, and suggestions for further research in this area.",150,2020,http://dx.doi.org/10.1016/j.compbiomed.2020.103726,No
"Zhai, XL; Tin, C",Automated ECG Classification Using Dual Heartbeat Coupling Based on Convolutional Neural Network,"A high performance electrocardiogram (ECG)-based arrhythmic beats classification system is presented in this paper. The classifier was designed based on convolutional neural network (CNN). Single channel ECG signal was segmented into heartbeats in accordance with the changing heartbeat rate. The beats were transformed into dual beat coupling matrix as 2-D inputs to the CNN classifier, which captured both beat morphology and beat-to-beat correlation in ECG. A systematic training beat selection procedure was also proposed which automatically include the most representative beats into the training set to improve classification performance. The classification system was evaluated for the detection of supraventricular ectopic beats (SVEB or S beats) and VEB using the MIT-BIH arrhythmia database. Our proposed method has demonstrated superior performance than several state-of-the-art detectors. In particular, our proposed CNN system has improved sensitivity and positive predictive rate for S beats by more than 12.2% and 11.9%, respectively, over these top performing algorithms. Our proposed CNN classifier with an automatic training beats selection process has shown to outperform the previous methods. The classifier is also a personalized one by combining training set from a common pool and a subject-specific set of ECG data. Our proposed system provides a reliable and fully automatic tool for detection of arrhythmia heartbeat without the need for manual feature extraction or expert assistant. It can potentially be implemented on portable device for the long-term monitoring of cardiac arrhythmia.",144,2018,http://dx.doi.org/10.1109/ACCESS.2018.2833841,No
"Sellami, A; Hwang, H",A robust deep convolutional neural network with batch-weighted loss for heartbeat classification,"The early detection of abnormal heart rhythm has become crucial due to the spike in the rate of deaths caused by cardiovascular diseases. While many existing works tried to classify heartbeats accurately, they suffered from the imbalance between heartbeat classes in the available ECG datasets since abnormal heartbeats appear much less frequently than normal ones. In addition, most of existing methods heavily rely on data preprocessing such as noise removal and feature extraction, which is computationally expensive, thus limits their use on low-cost portable ECG devices. We present a novel deep convolutional neural network based on state-of-the-art deep learning techniques for accurate heartbeat classification. We suggest a batch-weighted loss function to better quantify the loss in order to overcome the imbalance between classes. The loss weights dynamically change as the distribution of classes in each batch changes. Also, we propose to use multiple heartbeats for more effective heartbeat classification. Even though we use ECG signal from one lead only without any data preprocessing, our method consistently outperforms existing methods of 5-class heartbeat classification. Our accuracy, positive productivity, sensitivity and specificity under intra-patient paradigm are 99.48%, 98.83%, 96.97% and 99.87%, and those under inter-patient paradigm are 88.34%, 48.25%, 90.90% and 88.51% respectively. (C) 2018 Elsevier Ltd. All rights reserved.",142,2019,http://dx.doi.org/10.1016/j.eswa.2018.12.037,Yes
"Hammad, M; Iliyasu, AM; Subasi, A; Ho, ESL; Abd El-Latif, AA",A Multitier Deep Learning Model for Arrhythmia Detection,"An electrocardiograph (ECG) is employed as a primary tool for diagnosing cardiovascular diseases (CVDs). ECG signals provide a framework to probe the underlying properties and enhance the initial diagnosis obtained via traditional tools and patient-doctor dialogs. Notwithstanding its proven utility, deciphering large data sets to determine appropriate information remains a challenge in ECG-based CVD diagnosis and treatment. Our study presents a deep neural network (DNN) strategy to ameliorate the aforementioned difficulties. Our strategy consists of a learning stage where classification accuracy is improved via a robust feature extraction protocol. This is followed by using a genetic algorithm (GA) process to aggregate the best combination of feature extraction and classification. Comparison of the performance recorded for the proposed technique alongside state-of-the-art methods reported the area shows an increase of 0.94 and 0.953 in terms of average accuracy and F1 score, respectively. The outcomes suggest that the proposed model could serve as an analytic module to alert users and/or medical experts when anomalies are detected.",123,2021,http://dx.doi.org/10.1109/TIM.2020.3033072,Yes
"Oh, SL; Ng, EYK; Ta, RS; Acharya, UR",Automated beat-wise arrhythmia diagnosis using modified U-net on extended electrocardiographic recordings with heterogeneous arrhythmia types,"Abnormality of the cardiac conduction system can induce arrhythmia - abnormal heart rhythm - that can frequently lead to other cardiac diseases and complications, and are sometimes life-threatening. These conduction system perturbations can manifest as morphological changes on the surface electrocardiographic (ECG) signal. Assessment of these morphological changes can be challenging and time-consuming, as ECG signal features are often low in amplitude and subtle. The main aim of this study is to develop an automated computer aided diagnostic (CAD) system that can expedite the process of arrhythmia diagnosis, as an aid to clinicians to provide appropriate and timely intervention to patients. We propose an autoencoder of ECG signals that can diagnose normal sinus beats, atrial premature beats (APB), premature ventricular contractions (PVC), left bundle branch block (LBBB) and right bundle branch block (RBBB). Apart from the first, the rest are morphological beat to-beat elements that characterize and constitute complex arrhythmia. The novelty of this work lies in how we modified the U-net model to perform beat-wise analysis on heterogeneously segmented ECGs of variable length derived from the MIT-BIH arrhythmia database. The proposed system has demonstrated self-learning ability in generating class activations maps, and these generated maps faithfully reflect the cardiac conditions in each ECG cardiac cycle. It has attained a high classification accuracy of 97.32% in diagnosing cardiac conditions, and 99.3% for R peak detection using a ten-fold cross validation strategy. Our developed model can help physician to screen ECG accurately, potentially resulting in timely intervention of patients with arrhythmia.",117,2019,http://dx.doi.org/10.1016/j.compbiomed.2018.12.012,No
"Yang, WY; Si, YJ; Wang, D; Guo, BH",Automatic recognition of arrhythmia based on principal component analysis network and linear support vector machine,"Electrocardiogram (ECG) classification is an important process in identifying arrhythmia, and neural network models have been widely used in this field. However, these models are often disrupted by heartbeat noise and are negatively affected by skewed data. To address these problems, a novel heartbeat recognition method is presented. The aim of this study is to apply a principal component analysis network (PCANet) for feature extraction based on a noisy ECG signal. To improve the classification speed, a linear support vector machine (SVM) was applied. In our experiments, we identified five types of imbalanced original and noise-free ECGs in the MIT-BIH arrhythmia database to verify the effectiveness of our algorithm and achieved 97.77% and 97.08% accuracy, respectively. The results show that our method has high recognition accuracy in the classification of skewed and noisy - heartbeats, indicating that our method is a practical ECG recognition method with suitable noise robustness and skewed data applicability.",114,2018,http://dx.doi.org/10.1016/j.compbiomed.2018.08.003,No
"Shaker, AM; Tantawi, M; Shedeed, HA; Tolba, MF",Generalization of Convolutional Neural Networks for ECG Classification Using Generative Adversarial Networks,"Electrocardiograms (ECGs) play a vital role in the clinical diagnosis of heart diseases. An ECG record of the heart signal over time can be used to discover numerous arrhythmias. Our work is based on 15 different classes from the MIT-BIH arrhythmia dataset. But the MIT-BIH dataset is strongly imbalanced, which impairs the accuracy of deep learning models. We propose a novel data-augmentation technique using generative adversarial networks (GANs) to restore the balance of the dataset. Two deep learning approaches-an end-to-end approach and a two-stage hierarchical approach-based on deep convolutional neural networks (CNNs) are used to eliminate hand-engineering features by combining feature extraction, feature reduction, and classification into a single learning method. Results show that augmenting the original imbalanced dataset with generated heartbeats by using the proposed techniques more effectively improves the performance of ECG classification than using the same techniques trained only with the original dataset. Furthermore, we demonstrate that augmenting the heartbeats using GANs outperforms other common data augmentation techniques. Our experiments with these techniques achieved overall accuracy above 98.0%, precision above 90.0%, specificity above 97.4%, and sensitivity above 97.7% after the dataset had been balanced using GANs, results that outperform several other ECG classification methods.",111,2020,http://dx.doi.org/10.1109/ACCESS.2020.2974712,No
"Alfaras, M; Soriano, MC; Ortín, S",A Fast Machine Learning Model for ECG-Based Heartbeat Classification and Arrhythmia Detection,"We present a fully automatic and fast ECG arrhythmia classifier based on a simple brain-inspired machine learning approach known as Echo State Networks. Our classifier has a low-demanding feature processing that only requires a single ECG lead. Its training and validation follows an inter-patient procedure. Our approach is compatible with an online classification that aligns well with recent advances in health-monitoring wireless devices and wearables. The use of a combination of ensembles allows us to exploit parallelism to train the classifier with remarkable speeds. The heartbeat classifier is evaluated over two ECG databases, the MIT-BIH AR and the AHA. In the MIT-BIH AR database, our classification approach provides a sensitivity of 92.7% and positive predictive value of 86.1% for the ventricular ectopic beats, using the single lead II, and a sensitivity of 95.7% and positive predictive value of 75.1% when using the lead V1'. These results are comparable with the state of the art in fully automatic ECG classifiers and even outperform other ECG classifiers that follow more complex feature-selection approaches.",109,2019,http://dx.doi.org/10.3389/fphy.2019.00103,Yes
"Mathunjwa, BM; Lin, YT; Lin, CH; Abbod, MF; Shieh, JS",ECG arrhythmia classification by using a recurrence plot and convolutional neural network,"Cardiovascular diseases affect approximately 50 million people worldwide; thus, heart disease prevention is one of the most important tasks of any health care system. Despite the high popularity electrocardiography, superior automatic electrocardiography (ECG) signal analysis methods are required. The aim of this research was to design a new deep learning method for effectively classifying arrhythmia by using 2-second segments of 2D recurrence plot images of ECG signals. In the first stage, the noise and ventricular fibrillation (VF) categories were distinguished. In the second stage, the atrial fibrillation (AF), normal, premature AF, and premature VF categories were distinguished. Models were trained and tested using ECG databases publicly available at the website of PhysioNet. The MIT-BIH Arrhythmia Database, Creighton University Ventricular Tachyarrhythmia Database, MIT-BIH Atrial Fibrillation Database, and MIT-BIH Malignant Ventricular Ectopy Database were used to compare six types of arrhythmia. Testing accuracies of up to 95.3 % +/- 1.27 % and 98.41 % +/- 0.11 % were achieved for arrhythmia detection in the first and second stage, respectively, after five-fold cross-validation. In conclusion, this study provides clinicians with an advanced methodology for detecting and discriminating between different arrhythmia types.",104,2021,http://dx.doi.org/10.1016/j.bspc.2020.102262,No
"Wang, T; Lu, CH; Sun, YN; Yang, M; Liu, C; Ou, CS",Automatic ECG Classification Using Continuous Wavelet Transform and Convolutional Neural Network,"Early detection of arrhythmia and effective treatment can prevent deaths caused by cardiovascular disease (CVD). In clinical practice, the diagnosis is made by checking the electrocardiogram (ECG) beat-by-beat, but this is usually time-consuming and laborious. In the paper, we propose an automatic ECG classification method based on Continuous Wavelet Transform (CWT) and Convolutional Neural Network (CNN). CWT is used to decompose ECG signals to obtain different time-frequency components, and CNN is used to extract features from the 2D-scalogram composed of the above time-frequency components. Considering the surrounding R peak interval (also called RR interval) is also useful for the diagnosis of arrhythmia, four RR interval features are extracted and combined with the CNN features to input into a fully connected layer for ECG classification. By testing in the MIT-BIH arrhythmia database, our method achieves an overall performance of 70.75%, 67.47%, 68.76%, and 98.74% for positive predictive value, sensitivity, F1-score, and accuracy, respectively. Compared with existing methods, the overall F1-score of our method is increased by 4.75 similar to 16.85%. Because our method is simple and highly accurate, it can potentially be used as a clinical auxiliary diagnostic tool.",104,2021,http://dx.doi.org/10.3390/e23010119,Yes
"Zhang, J; Liu, AP; Gao, M; Chen, X; Zhang, X; Chen, X",ECG-based multi-class arrhythmia detection using spatio-temporal attention-based convolutional recurrent neural network,"Automatic arrhythmia detection based on electrocardiogram (ECG) is of great significance for early prevention and diagnosis of cardiac diseases. Recently, deep learning methods have been applied to arrhythmia detection and obtained great success. Among them, convolutional neural network (CNN) is an effective method for extracting features due to its local connectivity and parameter sharing. In addition, recurrent neural network (RNN) is another commonly used method, which is applied to process time-series signal. The stacking of both CNN and RNN has been proved to be more effective in mull-class arrhythmia detection. However, these networks ignored the fact that different channels and temporal segments of a feature map extracted from the 12-lead ECG signal contribute differently to cardiac arrhythmia detection, and thus, the classification performance could be greatly improved. To address this issue, spatio-temporal attention-based convolutional recurrent neural network (STA-CRNN) is proposed to focus on representative features along both spatial and temporal axes. STA-CRNN consists of CNN subnetwork, spatio-temporal attention modules and RNN subnetwork. The experiment result shows that, STA-CRNN reaches an average F-1 score of 0.835 in classifying 8 types of arrhythmias and normal rhythm. Compared with the state-of-the-art methods based on the same public dataset, STA-CRNN achieves an obvious improvement on identifying most of arrhythmias. Also, it is demonstrated by visualization that the learned features through STA-CRNN are in line with clinical judgement. STA-CRNN provides a promising method for automatic arrhythmia detection, which has a potential to assist cardiologists in the diagnosis of arrhythmias.",100,2020,http://dx.doi.org/10.1016/j.artmed.2020.101856,No
"Xia, YF; Zhang, HL; Xu, L; Gao, ZF; Zhang, HY; Liu, HF; Li, S",An Automatic Cardiac Arrhythmia Classification System With Wearable Electrocardiogram,"This paper presents an automatic wearable electrocardiogram (ECG) classification and monitoring system with stacked denoising autoencoder (SDAE). We use a wearable device with wireless sensors to obtain the ECG data, and send these ECG data to a computer with Bluetooth 4.2. Then, these ECG data are classified by the automatic cardiac arrhythmia classification system. First, the ECG feature representation is learned by the SDAE with sparsity constraint. Then, the softmax regression is used to classify the ECG beats. In the fine-tuning phase, an active learning is added to improve the performance. In the active learning phase, we use the method that relies on the deep neural networks posterior probabilities to associate confidence measures to select the most informative samples. Breaking-ties and modified breaking-ties methods are used to select the most informative samples. We validate the proposed method on the well-known MIT-BIH arrhythmia database and ECG data obtained from the wearable device. We follow the recommendations of the Association for the Advancement of Medical Instrumentation for class labeling and results presentation. The results show that the classification performance of our proposed approach outperforms the most of the state-of-the-art methods.",96,2018,http://dx.doi.org/10.1109/ACCESS.2018.2807700,No
"Wang, RX; Fan, JP; Li, Y",Deep Multi-Scale Fusion Neural Network for Multi-Class Arrhythmia Detection,"Automated electrocardiogram (ECG) analysis for arrhythmia detection plays a critical role in early prevention and diagnosis of cardiovascular diseases. Extracting powerful features from raw ECG signals for fine-grained diseases classification is still a challenging problem today due to variable abnormal rhythms and noise distribution. For ECG analysis, the previous research works depend mostly on heartbeat or single scale signal segments, which ignores underlying complementary information of different scales. In this paper, we formulate a novel end-to-end Deep Multi-Scale Fusion convolutional neural network (DMSFNet) architecture for multi-class arrhythmia detection. Our proposed approach can effectively capture abnormal patterns of diseases and suppress noise interference by multi-scale feature extraction and cross-scale information complementarity of ECG signals. The proposed method implements feature extraction for signal segments with different sizes by integrating multiple convolution kernels with different receptive fields. Meanwhile, joint optimization strategy with multiple losses of different scales is designed, which not only learns scale-specific features, but also realizes cumulatively multi-scale complementary feature learning during the learning process. In our work, we demonstrate our DMSFNet on two open datasets (CPSC_2018 and PhysioNet/CinC_2017) and deliver the state-of-art performance on them. Among them, CPSC_2018 is a 12-lead ECG dataset and CinC_2017 is a single-lead dataset. For these two datasets, we achieve the F1 score 82.8% and 84.1% which are higher than previous state-of-art approaches respectively. The results demonstrate that our end-to-end DMSFNet has outstanding performance for feature extraction from a broad range of distinct arrhythmias and elegant generalization ability for effectively handling ECG signals with different leads.",91,2020,http://dx.doi.org/10.1109/JBHI.2020.2981526,No
